Date,Vendor,Reason,Method,Category,Amount
12/9/2021,GEICO,Paycheck,Direct Deposit,Income,1944.17
12/23/2021,GEICO,Paycheck,Direct Deposit,Income,1944.17
11/29/2021,Waycroft,Dec Rent,Bank Transfer,Rent,-1276.49
12/1/2021,LAZ Parking,Parking,Apple Card,Transport,-125.00
12/1/2021,Chick Fil A,Dinner,Apple Card,Dining,-27.76
12/1/2021,Exxon,Gas,Discover Card,Transport,-48.70
12/2/2021,Target,Christmas Gift,Apple Card,Gifts,-36.71
12/2/2021,Calvin Klein,Christmas Gift,Discover Card,Gifts,-73.25
12/3/2021,Target,Groceries,Apple Card,Grocories,-18.02
12/4/2021,Culprit,Christmas Gift,Discover Card,Gifts,-36.03
12/4/2021,Warner Bros,Christmas Gift,Discover Card,Gifts,-49.91
12/4/2021,Teas'n You,Boba,Apple Card,Dining,-6.43
12/4/2021,Cava,Dinner,Apple Card,Dining,-23.47
12/4/2021,Target,Cleaning Supplies,Apple Card,Misc. Necessary ,-35.16
12/4/2021,Target,Misc,Apple Card,Misc. Unnecessary,-13.24
12/5/2021,Target,Chocolate,Apple Card,Grocories,-4.61
12/5/2021,Target,Candles,Apple Card,Misc. Unnecessary,-31.26
12/6/2021,Target,Groceries,Apple Card,Grocories,-10.33
12/6/2021,Spotify,Premium,Discover Card,Entertainment,-9.99
12/6/2021,Target,Groceries,Apple Card,Grocories,-1.53
12/6/2021,Target,Groceries,Apple Card,Grocories,-39.88
12/8/2021,Target,Groceries,Apple Card,Grocories,-4.61
12/8/2021,Target,Groceries,Apple Card,Grocories,-6.45
12/8/2021,Harris Teeter,Groceries,Discover Card,Grocories,-56.86
12/10/2021,Chipotle,Dinner,Apple Card,Dining,-21.67
12/10/2021,Total Wine,Beer,Apple Card,Alcohol,-10.59
